trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3436,False,"{'a': 0.01, 'e': 0.0322254102319168}",20,12,17.140213376769005,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3437,False,"{'a': 0.01, 'e': 0.03219320092902044}",20,14,11.735575908964766,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3438,False,"{'a': 0.01, 'e': 0.032161023819327686}",20,13,12.877177445453947,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3439,False,"{'a': 0.01, 'e': 0.03212887887066144}",25,16,17.567300408267045,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3440,False,"{'a': 0.01, 'e': 0.032096766050876746}",25,8,28.568986532576023,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3441,False,"{'a': 0.01, 'e': 0.03206468532786077}",20,10,17.63778894764081,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3442,False,"{'a': 0.01, 'e': 0.03203263666953279}",30,14,28.836219812933965,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3443,False,"{'a': 0.01, 'e': 0.03200062004384415}",25,16,18.40313057186583,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3444,False,"{'a': 0.01, 'e': 0.03196863541877823}",20,6,21.004545187960137,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
3445,False,"{'a': 0.01, 'e': 0.03193668276235039}",20,16,7.400208200264678,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3446,False,"{'a': 0.01, 'e': 0.03190476204260796}",20,8,24.112282794987763,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3447,False,"{'a': 0.01, 'e': 0.031872873227630244}",35,21,26.654024166628318,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3448,False,"{'a': 0.01, 'e': 0.03184101628552841}",25,14,18.058659049342587,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3449,False,"{'a': 0.01, 'e': 0.03180919118444552}",25,7,7.329507174568272,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
3450,False,"{'a': 0.01, 'e': 0.03177739789255645}",30,22,16.27977453329147,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3451,False,"{'a': 0.01, 'e': 0.03174563637806794}",20,0,18.088247978214053,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
3452,False,"{'a': 0.01, 'e': 0.03171390660921845}",25,16,15.416105475802706,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3453,False,"{'a': 0.01, 'e': 0.0316822085542782}",30,12,32.554935944906696,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3454,False,"{'a': 0.01, 'e': 0.03165054218154915}",25,13,23.179794468510984,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3455,False,"{'a': 0.01, 'e': 0.031618907459364916}",20,8,24.049790461389804,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3456,False,"{'a': 0.01, 'e': 0.031587304356090785}",20,3,27.23576677172758,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3457,False,"{'a': 0.01, 'e': 0.03155573284012364}",25,17,13.242758940920435,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3458,False,"{'a': 0.01, 'e': 0.031524192879891964}",20,7,20.081900807676877,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3459,False,"{'a': 0.01, 'e': 0.031492684443855785}",20,2,33.07954768264507,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3460,False,"{'a': 0.01, 'e': 0.03146120750050669}",30,4,22.30186543109896,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
3461,False,"{'a': 0.01, 'e': 0.03142976201836771}",30,12,28.767766951073824,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3462,False,"{'a': 0.01, 'e': 0.03139834796599337}",25,15,20.621312398236263,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3463,False,"{'a': 0.01, 'e': 0.0313669653119696}",25,0,38.72667040241091,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
3464,False,"{'a': 0.01, 'e': 0.03133561402491377}",30,17,12.196549761167205,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
3465,False,"{'a': 0.01, 'e': 0.03130429407347458}",20,0,31.71860168612047,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3466,False,"{'a': 0.01, 'e': 0.03127300542633206}",20,9,19.401507619324587,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3467,False,"{'a': 0.01, 'e': 0.031241748052197565}",25,8,28.78775052306351,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3468,False,"{'a': 0.01, 'e': 0.031210521919813744}",20,15,2.7078086189581656,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
3469,False,"{'a': 0.01, 'e': 0.031179326997954438}",20,16,8.506070722574032,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3470,False,"{'a': 0.01, 'e': 0.03114816325542473}",20,3,30.407766431762035,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3471,False,"{'a': 0.01, 'e': 0.03111703066106086}",25,11,17.4986120043876,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3472,False,"{'a': 0.01, 'e': 0.03108592918373026}",20,14,12.999647096736965,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3473,False,"{'a': 0.01, 'e': 0.03105485879233143}",20,12,13.343379695873184,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3474,False,"{'a': 0.01, 'e': 0.031023819455793984}",25,17,14.828487816164538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3475,False,"{'a': 0.01, 'e': 0.03099281114307856}",20,10,15.819804851890433,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3476,False,"{'a': 0.01, 'e': 0.030961833823176882}",20,12,14.766617133892142,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3477,False,"{'a': 0.01, 'e': 0.030930887465111603}",25,11,24.443530500675887,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3478,False,"{'a': 0.01, 'e': 0.030899972037936367}",20,6,25.191238802028003,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3479,False,"{'a': 0.01, 'e': 0.03086908751073573}",30,21,16.892220725281863,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3480,False,"{'a': 0.01, 'e': 0.030838233852625192}",20,2,5.142735365971842,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
3481,False,"{'a': 0.01, 'e': 0.030807411032751076}",20,7,12.369190671862924,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
3482,False,"{'a': 0.01, 'e': 0.03077661902029056}",20,12,17.264592086450204,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3483,False,"{'a': 0.01, 'e': 0.030745857784451616}",25,13,-1.9038870345475019,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
3484,False,"{'a': 0.01, 'e': 0.03071512729447303}",20,15,9.522322950902598,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3485,False,"{'a': 0.01, 'e': 0.0306844275196243}",20,10,18.125939339647267,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3486,False,"{'a': 0.01, 'e': 0.030653758429205646}",35,17,29.967467074132205,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3487,False,"{'a': 0.01, 'e': 0.03062311999254796}",30,20,15.919276569412407,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
